month,date,city_name,max_num,min_num
3,2018-03-07,郑州,9,3
3,2018-03-07,重庆,15,10
3,2018-03-08,北京,6,-4
3,2018-03-08,呼和浩特,3,-11
3,2018-03-08,恩施,18,6
3,2018-03-08,成都,22,7
3,2018-03-08,昆明,16,7
3,2018-03-08,济南,5,-1
3,2018-03-08,西安,14,3
3,2018-03-08,贵阳,15,6
3,2018-03-08,运城,14,-1
3,2018-03-08,郑州,9,2
3,2018-03-08,重庆,21,10
3,2018-03-09,北京,9,-4
3,2018-03-09,呼和浩特,10,-6
3,2018-03-09,恩施,21,5
3,2018-03-09,成都,24,7
3,2018-03-09,昆明,16,7
3,2018-03-09,济南,11,-2
3,2018-03-09,西安,16,3
3,2018-03-09,贵阳,19,4
3,2018-03-09,运城,18,0
3,2018-03-09,郑州,13,0
3,2018-03-09,重庆,24,9
3,2018-03-10,北京,12,0
3,2018-03-10,呼和浩特,13,-1
3,2018-03-10,恩施,22,6
3,2018-03-10,成都,21,13
3,2018-03-10,昆明,17,9
3,2018-03-10,济南,16,8
3,2018-03-10,西安,17,4
3,2018-03-10,贵阳,18,8
3,2018-03-10,运城,22,2
3,2018-03-10,郑州,19,2
3,2018-03-10,重庆,20,12
3,2018-03-11,北京,8,-4
3,2018-03-11,呼和浩特,17,-5
3,2018-03-11,恩施,19,8
3,2018-03-11,成都,23,11
3,2018-03-11,昆明,21,4
3,2018-03-11,济南,20,6
3,2018-03-11,西安,20,7
3,2018-03-11,贵阳,19,9
3,2018-03-11,运城,20,7
3,2018-03-11,郑州,20,5
3,2018-03-11,重庆,20,12
3,2018-03-12,北京,12,-3
3,2018-03-12,呼和浩特,17,-2
3,2018-03-12,恩施,23,4
3,2018-03-12,成都,22,12
3,2018-03-12,昆明,20,6
3,2018-03-12,济南,22,11
3,2018-03-12,西安,23,7
3,2018-03-12,贵阳,15,11
3,2018-03-12,运城,24,7
3,2018-03-12,郑州,23,6
3,2018-03-12,重庆,18,10
3,2018-03-13,北京,19,2
3,2018-03-13,呼和浩特,19,2
3,2018-03-13,恩施,21,11
3,2018-03-13,成都,24,13
3,2018-03-13,昆明,20,7
3,2018-03-13,济南,25,17
3,2018-03-13,西安,25,8
3,2018-03-13,贵阳,18,11
3,2018-03-13,运城,26,7
3,2018-03-13,郑州,26,9
3,2018-03-13,重庆,19,13
3,2018-03-14,北京,18,7
3,2018-03-14,呼和浩特,20,0
3,2018-03-14,恩施,23,14
3,2018-03-14,成都,27,11
3,2018-03-14,昆明,22,6
3,2018-03-14,济南,26,19
